Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
CST5	4	No	-0.04444990763546883	0.05850200416322896	798.0935818998676	-0.15928588101698687	0.07038606574604922
CST5	7	No	0.230032406013835	0.059096500074172276	824.3622467213706	0.11403508625387172	0.3460297257737983
CST5	1	Yes	-0.3680247104546538	0.09739923188031152	800.0595819041396	-0.5592129272655193	-0.17683649364378826
CST5	4	Yes	-0.3889718636669122	0.09917217787956424	844.3706017916152	-0.5836247792530651	-0.19431894808075936
CST5	7	Yes	-0.1798474398950753	0.09891070735477046	837.7776521283332	-0.37398934010839546	0.014294460318244856
OSM	1	No	-0.23984829981367117	0.05872201511128716	1021.966414849224	-0.35507780366492014	-0.12461879596242222
OSM	4	No	-0.11937262940264512	0.05826008924496634	1003.0414059628299	-0.2336982593091271	-0.005046999496163135
OSM	7	No	-0.017233903089765128	0.05921892111088566	1042.9243414550099	-0.13343571084878253	0.09896790466925226
OSM	1	Yes	-0.1935459162391632	0.09701877707260559	1002.583213008597	-0.3839290596443737	-0.0031627728339527206
OSM	4	Yes	0.10075561342398336	0.09976777353933919	1063.566148583039	-0.09500840947652746	0.2965196363244942
OSM	7	Yes	0.23166205644817425	0.09936216206710755	1054.6797165801513	0.03669205158989747	0.42663206130645104
CXCL1	1	No	0.23945460933930562	0.058844098006979276	1026.3799939849891	0.12398613242914483	0.35492308624946645
CXCL1	4	No	-0.060497430919296075	0.05837812093419805	1007.3901309312556	-0.1750540807398249	0.05405921890123275
CXCL1	7	No	0.1112139814994347	0.05934547630025589	1047.4176016708166	-0.005235577665040417	0.2276635406639098
CXCL1	1	Yes	0.25952790114219204	0.09721520651820242	1006.8468381037349	0.06876027415085631	0.4502955281335278
CXCL1	4	Yes	0.14459136811823067	0.09998661609477187	1067.9350761252706	-0.051601152570171005	0.34078388880663235
CXCL1	7	Yes	0.15666892439661761	0.09957770280972512	1059.0393217955852	-0.038723093813606724	0.35206094260684195
CCL4	1	No	-0.3387335121349464	0.05740891587585109	950.9943604960564	-0.4513963064748142	-0.22607071779507856
CCL4	4	No	0.025576974719235493	0.057008484623726915	933.516726497142	-0.08630265786949035	0.13745660730796133
CCL4	7	No	0.3447696788194649	0.057838112461180535	970.2350146706099	0.23126747091783517	0.45827188672109465
CCL4	1	Yes	-0.3778421201583913	0.094933475970523	934.2501378941572	-0.5641496787251583	-0.19153456159162432
CCL4	4	Yes	0.1472865286324931	0.09734123456738109	992.1846078273063	-0.04373180343090541	0.3383048606958916
CCL4	7	Yes	0.38570451084236707	0.09698594478191766	983.661312881203	0.1953813703286507	0.5760276513560835
CD6	1	No	-0.010727124598401812	0.05700077433463586	966.9805492940246	-0.12258660029997376	0.10113235110317015
CD6	4	No	0.11908019531588085	0.056591288376052526	949.1121584688136	0.008021682913013292	0.2301387077187484
CD6	7	No	0.4159667861251395	0.057440032026194625	986.6776974664426	0.30324812221011144	0.5286854500401675
CD6	1	Yes	-0.1841644470779562	0.09423947380355771	949.6074995165459	-0.36910614216670745	7.772480107950397e-4
CD6	4	Yes	-0.15453786655407015	0.09669575664038657	1008.452141577174	-0.34428580162294953	0.035210068514809206
CD6	7	Yes	-0.2416820272677376	0.09633330539678879	999.811689591456	-0.430720680378057	-0.05264337415741818
SCF	1	No	0.44882035067859766	0.05683079525128033	888.9730274782689	0.3372821796294631	0.5603585217277323
SCF	4	No	0.04825312467843206	0.056483261862803634	873.3463465702201	-0.06260566905505321	0.15911191841191732
SCF	7	No	0.11436322860321556	0.05720212897051946	906.0840656746374	0.0020991549178826924	0.22662730228854844
SCF	1	Yes	0.31618072693873395	0.09405305219746317	874.8219839100981	0.1315847393350256	0.5007767145424423
SCF	4	Yes	-0.3064997809265523	0.09616340286449605	927.9856583373662	-0.4952227315401668	-0.11777683031293776
SCF	7	Yes	-0.3499657734746635	0.09585203848720271	920.1148539713212	-0.5380797655948748	-0.16185178135445222
IL18	1	No	0.32426534868683626	0.058127454168603716	709.9111121596055	0.2101430647035888	0.43838763267008374
IL18	4	No	-0.041192557236638574	0.05794974198224411	702.2311165986582	-0.15496806187694617	0.07258294740366902
IL18	7	No	-0.29143073807875974	0.05831559327888503	718.1583398708789	-0.40592015235952755	-0.17694132379799193
IL18	1	Yes	0.38269096472822517	0.09644452500213534	704.0133128155653	0.19333763598350415	0.5720442934729462
IL18	4	Yes	0.18517428821556922	0.09756092311789563	732.292630912646	-0.006358171372455368	0.3767067478035938
IL18	7	Yes	-0.209038669140374	0.09739645067125538	728.0824525509772	-0.4002500654313603	-0.017827272849387676
SLAMF1	1	No	0.1781763062785672	0.05854169099694239	1061.228768751863	0.06330568936768127	0.29304692318945313
SLAMF1	4	No	-0.0071486808685250584	0.05805446642690086	1041.835192219723	-0.12106568601797481	0.10676832428092468
SLAMF1	7	No	0.12927407693852042	0.059066883841842624	1082.778567029466	0.013375559338567086	0.24517259453847373
SLAMF1	1	Yes	0.015047663584112386	0.09667449346613108	1040.5787242632114	-0.17465150883033081	0.2047468359985556
SLAMF1	4	Yes	-0.08573718971737385	0.09955864084344587	1102.1545071258372	-0.2810830611029493	0.10960868166820159
SLAMF1	7	Yes	0.008101353930210914	0.09913315048776362	1093.2386329769754	-0.1864113988091608	0.20261410666958263
TGF-alpha	1	No	-0.16787702985285005	0.05887613360359617	1053.512286837868	-0.28340485684599886	-0.05234920285970124
