Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
MCP-4	Gender	0.6777516711289611	0.6777516711289611	1	576.078912402205	2.446529989754275	0.11833412346550193	0.19337527493142997
MCP-4	Day:srf14	4.329011146372921	2.1645055731864606	2	1036.4453048672328	7.813374755638664	4.2856931291224446e-4	0.002871414396512038
CCL11	Day	42.875165827448605	21.437582913724302	2	1045.0073435110749	53.931244639704126	5.122783275694126e-23	1.3201018441211786e-22
CCL11	srf14	8.55240500979656	8.55240500979656	1	579.8267992607377	21.515571447464037	4.3414887768095075e-6	1.7110573414484532e-5
CCL11	DEXcorrected	0.0010713375695826873	0.0010713375695826873	1	568.163457892225	0.0026951997708603713	0.9586144192975727	0.9586144192975727
CCL11	cbmi	1.383074626444321	1.383074626444321	1	566.0609937044495	3.4794471155599864	0.06265261971986376	0.16145098158580276
CCL11	Age	0.4804843230095464	0.4804843230095464	1	567.9573381112667	1.2087704884481605	0.2720415651723598	0.33753305308422415
CCL11	Gender	0.506680805630857	0.506680805630857	1	570.6351179840678	1.2746738563154951	0.25936609648827097	0.3546434380553909
CCL11	Day:srf14	2.249274853191568	1.124637426595784	2	1045.0123763319712	2.829288004566714	0.05950734835697547	0.142392583568477
TNFSF14	Day	47.851451437724265	23.925725718862132	2	1057.7197195872136	50.10952824177562	1.6138998723523464e-21	3.728665222331283e-21
TNFSF14	srf14	0.5576295101277574	0.5576295101277574	1	585.7933651804026	1.1678873198887139	0.2802804733347109	0.3294524862004497
TNFSF14	DEXcorrected	1.130534473665566	1.130534473665566	1	572.7902572797544	2.367767222700563	0.12441631238776044	0.18524206511066554
TNFSF14	cbmi	0.01030815542154514	0.01030815542154514	1	570.3345094552872	0.021589180252505807	0.8832371664504524	0.9821663493011499
TNFSF14	Age	2.0527894343474675	2.0527894343474675	1	572.3462501323474	4.299318287919631	0.03857439574537089	0.06303620768145973
TNFSF14	Gender	0.5656559630310585	0.5656559630310585	1	575.3229262084695	1.1846977511861922	0.27685743178704997	0.370988958594647
TNFSF14	Day:srf14	1.4810795349298547	0.7405397674649273	2	1057.7235752470663	1.5509706509210341	0.2125238940322178	0.32361592954905893
MMP-1	Day	33.44115440683079	16.720577203415395	2	1043.9703265447836	52.880239412370855	1.3324130741540918e-22	3.188274141725862e-22
MMP-1	srf14	0.10661871819212686	0.10661871819212686	1	588.2659011158539	0.33719071269191164	0.5616776807887002	0.5954068094915101
MMP-1	DEXcorrected	0.12035323174300343	0.12035323174300343	1	578.6626434728809	0.38062727328112694	0.5375103815083202	0.6002199260176242
MMP-1	cbmi	0.7202785432515887	0.7202785432515887	1	577.0307417406008	2.2779418047217685	0.13177325799276515	0.2783527321647062
MMP-1	Age	0.6403075488830442	0.6403075488830442	1	578.6849454591884	2.02502677213604	0.15526505980332628	0.22614693493093177
MMP-1	Gender	0.1225689489460538	0.1225689489460538	1	580.8985915179052	0.3876346663120015	0.5337896706801818	0.6166191023374513
MMP-1	Day:srf14	1.1531938827641302	0.5765969413820651	2	1043.9763485956594	1.8235365881087089	0.1619676305299272	0.2828135076031644
LIF-R	Day	114.29187504403569	57.145937522017846	2	1048.0057253761827	131.76590457239428	8.977947762998717e-52	6.01522500120914e-51
LIF-R	srf14	1.0489208250326199	1.0489208250326199	1	577.9611452087094	2.418579645875848	0.12045099027445473	0.1717067308167759
LIF-R	DEXcorrected	0.013688016214999496	0.013688016214999496	1	565.4044642423748	0.03156154079502313	0.8590570205933177	0.8720730360568528
LIF-R	cbmi	1.579967849158351	1.579967849158351	1	563.0676966837717	3.6430567397627884	0.05681161932596234	0.15355316983367354
LIF-R	Age	2.6377618609813465	2.6377618609813465	1	565.0414896423281	6.082095993697795	0.013951665139724612	0.027492987187104384
LIF-R	Gender	0.07111404536798764	0.07111404536798764	1	567.9183366270423	0.1639732747774912	0.6856769331260382	0.7412353063970479
LIF-R	Day:srf14	4.991101846427919	2.4955509232139597	2	1048.0099874421833	5.754188995098142	0.0032704603345190117	0.01369505265079836
FGF-21	Day	12.979423005193125	6.489711502596562	2	1073.5772557105834	12.241940463990561	5.534922248765114e-6	7.416795813345254e-6
FGF-21	srf14	0.03930300239888804	0.03930300239888804	1	589.1299103115723	0.07413966171389241	0.7854975279984578	0.7854975279984578
FGF-21	DEXcorrected	26.420331334898112	26.420331334898112	1	574.3261482589776	49.838289901071676	4.836748213808478e-12	6.481242606503361e-11
FGF-21	cbmi	4.030967663163018	4.030967663163018	1	571.2713869051131	7.603861300301088	0.006010674727859694	0.03661047334241813
FGF-21	Age	7.7105013637647515	7.7105013637647515	1	573.3252281938834	14.544791182930037	1.5171007078611953e-4	4.620261246668186e-4
FGF-21	Gender	31.558780005040543	31.558780005040543	1	576.6947527387048	59.53126048566342	5.324270531380762e-14	3.5672612560251107e-12
FGF-21	Day:srf14	0.29185023867015186	0.14592511933507593	2	1073.5787726412402	0.27526749415377993	0.7594225484266344	0.848021845743075
CCL19	Day	40.78757586341956	20.39378793170978	2	1037.9637116237743	75.01244870205615	3.7328344616763e-31	1.3894439385128451e-30
CCL19	srf14	0.38131638574496773	0.38131638574496773	1	585.4501158965002	1.4025582653271114	0.23677628029548475	0.29932095810938636
CCL19	DEXcorrected	7.50316279530471	7.50316279530471	1	576.7498779247708	27.598139990994014	2.1042412712295474e-7	1.566490724137552e-6
CCL19	cbmi	0.3988075747702125	0.3988075747702125	1	575.301207483522	1.4668943721792405	0.22633361006289562	0.4017525056352435
